recall,precision
0.0,1.0
0.00030120481927710846,1.0
0.0006024096385542169,1.0
0.0009036144578313253,1.0
0.0012048192771084338,1.0
0.0015060240963855422,1.0
0.0018072289156626507,1.0
0.002108433734939759,1.0
0.0024096385542168677,1.0
0.002710843373493976,1.0
0.0030120481927710845,1.0
0.0033132530120481927,1.0
0.0036144578313253013,1.0
0.00391566265060241,1.0
0.004216867469879518,1.0
0.004518072289156626,1.0
0.004819277108433735,1.0
0.0051204819277108436,1.0
0.005421686746987952,1.0
0.00572289156626506,1.0
0.006024096385542169,1.0
0.006325301204819277,1.0
0.006626506024096385,1.0
0.0069277108433734936,1.0
0.007228915662650603,1.0
0.007530120481927711,1.0
0.00783132530120482,1.0
0.008132530120481927,1.0
0.008433734939759036,1.0
0.008734939759036145,1.0
0.009036144578313253,1.0
0.009337349397590362,1.0
0.00963855421686747,1.0
0.009939759036144578,1.0
0.010240963855421687,1.0
0.010542168674698794,1.0
0.010843373493975903,1.0
0.011144578313253013,1.0
0.01144578313253012,1.0
0.011746987951807229,1.0
0.012048192771084338,1.0
0.012349397590361445,1.0
0.012650602409638554,1.0
0.012951807228915663,1.0
0.01325301204819277,1.0
0.01355421686746988,1.0
0.013855421686746987,1.0
0.014156626506024096,1.0
0.014457831325301205,1.0
0.014759036144578313,1.0
0.015060240963855422,1.0
0.01536144578313253,1.0
0.01566265060240964,1.0
0.015963855421686747,1.0
0.016265060240963854,1.0
0.016566265060240965,1.0
0.016867469879518072,1.0
0.01716867469879518,1.0
0.01746987951807229,1.0
0.017771084337349398,1.0
0.018072289156626505,1.0
0.018373493975903616,1.0
0.018674698795180723,1.0
0.01897590361445783,1.0
0.01927710843373494,1.0
0.01957831325301205,1.0
0.019879518072289156,1.0
0.020180722891566263,1.0
0.020481927710843374,1.0
0.02078313253012048,1.0
0.02108433734939759,1.0
0.0213855421686747,1.0
0.021686746987951807,1.0
0.021987951807228914,1.0
0.022289156626506025,1.0
0.022590361445783132,1.0
0.02289156626506024,1.0
0.02319277108433735,1.0
0.023493975903614458,1.0
0.023795180722891565,1.0
0.024096385542168676,1.0
0.024397590361445783,1.0
0.02469879518072289,1.0
0.025,1.0
0.02530120481927711,1.0
0.025602409638554216,1.0
0.025903614457831327,1.0
0.026204819277108434,1.0
0.02650602409638554,1.0
0.026807228915662652,1.0
0.02710843373493976,1.0
0.027409638554216867,1.0
0.027710843373493974,1.0
0.028012048192771085,1.0
0.028313253012048192,1.0
0.0286144578313253,1.0
0.02891566265060241,1.0
0.029216867469879518,1.0
0.029518072289156625,1.0
0.029819277108433736,1.0
0.030120481927710843,1.0
0.03042168674698795,1.0
0.03072289156626506,1.0
0.03102409638554217,1.0
0.03132530120481928,1.0
0.03162650602409638,1.0
0.031927710843373494,1.0
0.032228915662650605,1.0
0.03253012048192771,1.0
0.03283132530120482,1.0
0.03313253012048193,1.0
0.033433734939759034,1.0
0.033734939759036145,1.0
0.034036144578313256,1.0
0.03433734939759036,1.0
0.03463855421686747,1.0
0.03493975903614458,1.0
0.035240963855421685,1.0
0.035542168674698796,1.0
0.03584337349397591,1.0
0.03614457831325301,1.0
0.03644578313253012,1.0
0.03674698795180723,1.0
0.037048192771084336,1.0
0.03734939759036145,1.0
0.03765060240963856,1.0
0.03795180722891566,1.0
0.03825301204819277,1.0
0.03855421686746988,1.0
0.03885542168674699,1.0
0.0391566265060241,1.0
0.0394578313253012,1.0
0.03975903614457831,1.0
0.04006024096385542,1.0
0.04036144578313253,1.0
0.04066265060240964,1.0
0.04096385542168675,1.0
0.04126506024096385,1.0
0.04156626506024096,1.0
0.041867469879518074,1.0
0.04216867469879518,1.0
0.04246987951807229,1.0
0.0427710843373494,1.0
0.0430722891566265,1.0
0.043373493975903614,1.0
0.043674698795180725,1.0
0.04397590361445783,1.0
0.04427710843373494,1.0
0.04457831325301205,1.0
0.044879518072289154,1.0
0.045180722891566265,1.0
0.045481927710843376,1.0
0.04578313253012048,1.0
0.04608433734939759,1.0
0.0463855421686747,1.0
0.046686746987951805,1.0
0.046987951807228916,1.0
0.047289156626506026,1.0
0.04759036144578313,1.0
0.04789156626506024,1.0
0.04819277108433735,1.0
0.048493975903614456,1.0
