,accuracy,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.5139803886413574,10.338422775268555,0.7574243545532227,0.6726389527320862,0.5778688788414001,4.757823944091797,0.7906420826911926,0.6899120807647705
1,0.5287659168243408,3.3332178592681885,0.7643014192581177,0.6840254664421082,0.5778688788414001,2.4136250019073486,0.842526912689209,0.5485024452209473
2,0.5136876106262207,2.0449068546295166,0.7693004012107849,0.6761972308158875,0.5778688788414001,1.666728138923645,0.7906778454780579,0.690061092376709
3,0.5215927362442017,1.4302494525909424,0.7704259753227234,0.6828951835632324,0.4200819730758667,1.7079415321350098,0.49149104952812195,0.6498286128044128
4,0.4842629134654999,1.7905735969543457,0.7596737742424011,0.670629620552063,0.05481557548046112,3.1400182247161865,0.8094253540039062,0.5835195779800415
5,0.5245205760002136,1.3091553449630737,0.7708960771560669,0.6752762794494629,0.4298155605792999,1.733117938041687,0.5195659399032593,0.706303060054779
6,0.5103206038475037,1.4962834119796753,0.7658126354217529,0.6781647801399231,0.23155738413333893,1.4121547937393188,0.715985119342804,0.5739830136299133
7,0.5281803607940674,0.9678914546966553,0.7754051685333252,0.6810113787651062,0.5778688788414001,406.57916259765625,0.5077112913131714,0.7358068823814392
8,0.5109061598777771,2.0530855655670166,0.7648122310638428,0.6727645397186279,0.5778688788414001,1.3195892572402954,0.7906420826911926,0.6899120807647705
9,0.540916383266449,0.8918871283531189,0.7778891324996948,0.6824765801429749,0.5778688788414001,0.8080742359161377,0.7906420826911926,0.6899120807647705
