,accuracy,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.5129556655883789,12.374632835388184,0.7525980472564697,0.6924667358398438,0.5778688788414001,6.727581024169922,0.7906420826911926,0.7101227045059204
1,0.5214463472366333,5.010318756103516,0.775951623916626,0.7015548944473267,0.5778688788414001,3.9197604656219482,0.8312925100326538,0.6559816002845764
2,0.5248133540153503,3.2579598426818848,0.7726317048072815,0.6962570548057556,0.5778688788414001,2.739306688308716,0.7783711552619934,0.7153373956680298
3,0.5173473954200745,2.5945990085601807,0.7692089080810547,0.699832022190094,0.5778688788414001,2.1619863510131836,0.7470722198486328,0.7533742189407349
4,0.5289123058319092,2.101073980331421,0.7716019749641418,0.6953955888748169,0.29047131538391113,113.17753601074219,0.5881760120391846,0.8056748509407043
5,0.5075391530990601,2.1933746337890625,0.7596367597579956,0.6917775869369507,0.5778688788414001,477.78289794921875,0.7694712281227112,0.45306748151779175
6,0.526716411113739,2.4203338623046875,0.7712191343307495,0.6978076696395874,0.5553278923034668,1.8938684463500977,0.7872881293296814,0.7124233245849609
7,0.5303762555122375,1.56755793094635,0.7750166654586792,0.7012103199958801,0.5778688788414001,1.2837295532226562,0.7906420826911926,0.7101227045059204
8,0.5360854864120483,1.4755516052246094,0.7736713886260986,0.6978937983512878,0.5778688788414001,1.2045660018920898,0.7905070781707764,0.7101227045059204
9,0.5270092487335205,1.3744208812713623,0.7648247480392456,0.7010810971260071,0.21977458894252777,3571399.5,0.45594626665115356,0.5309816002845764
10,0.534328818321228,1.4866763353347778,0.7761701941490173,0.6978076696395874,0.5655737519264221,233.0389862060547,0.5846560597419739,0.5423312783241272
11,0.540916383266449,1.2061744928359985,0.774046003818512,0.699832022190094,0.5778688788414001,0.9445317387580872,0.7906420826911926,0.7101227045059204
12,0.5378422141075134,0.9604507684707642,0.776165246963501,0.7071973085403442,0.5778688788414001,0.8722352981567383,0.7906420826911926,0.7101227045059204
13,0.5346215963363647,0.7781679630279541,0.7777151465415955,0.7130981683731079,0.5778688788414001,0.8119171261787415,0.789348304271698,0.7115030884742737
14,0.5311082005500793,0.7160417437553406,0.7750232815742493,0.7177068591117859,0.5696721076965332,5.492157459259033,0.7000576853752136,0.5584355592727661
15,0.528033971786499,0.7926061749458313,0.7757910490036011,0.7138734459877014,0.5778688788414001,0.6776524782180786,0.7811338901519775,0.7417178153991699
16,0.5294978618621826,0.6123713254928589,0.7802445888519287,0.714476466178894,0.5778688788414001,0.6011857390403748,0.7491995692253113,0.7536810040473938
17,0.5268628597259521,0.5862835645675659,0.7825351357460022,0.7171469330787659,0.5778688788414001,0.5449087023735046,0.7565582394599915,0.7740797400474548
18,0.5290586948394775,0.5710839629173279,0.7793512940406799,0.7182236909866333,0.5778688788414001,0.623281717300415,0.7902621626853943,0.7119631767272949
19,0.539306104183197,0.8055080771446228,0.7779549956321716,0.7143903374671936,0.5778688788414001,0.604816734790802,0.7906420826911926,0.7101227045059204
20,0.5335968136787415,0.5474470853805542,0.7814376950263977,0.7173191905021667,0.28022539615631104,13073061.0,0.33090081810951233,0.4242331385612488
21,0.5325720906257629,0.6841538548469543,0.7799586057662964,0.7137442231178284,0.5778688788414001,0.5345820188522339,0.790685772895813,0.7108895778656006
22,0.5286195278167725,0.5138044953346252,0.7807164788246155,0.7208941578865051,0.38012295961380005,0.5249190330505371,0.735764741897583,0.7828220725059509
23,0.5306690335273743,0.49725455045700073,0.7805967926979065,0.7222294211387634,0.5778688788414001,0.46499302983283997,0.7888156771659851,0.71610426902771
24,0.5262772440910339,0.8541319370269775,0.778181791305542,0.709738552570343,0.04969262331724167,8.46774959564209,0.3324905037879944,0.20168711245059967
25,0.5352071523666382,0.5840064883232117,0.7837263345718384,0.7143903374671936,0.5778688788414001,0.5276264548301697,0.7905428409576416,0.7102760672569275
26,0.5376958250999451,0.5538371801376343,0.7814337611198425,0.7211526036262512,0.1111680343747139,3647098.25,0.5924351215362549,0.6197852492332458
27,0.5395988821983337,0.7707564830780029,0.7835503816604614,0.7152087092399597,0.5778688788414001,0.5343267917633057,0.7905070781707764,0.7101227045059204
28,0.5365246534347534,0.5242582559585571,0.7830655574798584,0.7221863269805908,0.4415983557701111,81921056.0,0.5323479771614075,0.6739263534545898
29,0.5404772162437439,0.7732626795768738,0.7855973243713379,0.72313392162323,0.5455942749977112,0.5241895914077759,0.7703549265861511,0.7357361912727356
30,0.5419411659240723,0.5039439797401428,0.782904863357544,0.7227462530136108,0.014344261959195137,3477.447265625,0.20966386795043945,0.076533742249012
31,0.5346215963363647,0.5351335406303406,0.7856975793838501,0.7230908274650574,0.5778688788414001,0.4712822437286377,0.7808219194412231,0.7430981397628784
32,0.5431122779846191,0.4551478922367096,0.7870417833328247,0.724124550819397,0.5722336173057556,0.47417229413986206,0.7290654182434082,0.7825153470039368
33,0.5404772162437439,0.4552956819534302,0.7866015434265137,0.7282594442367554,0.5778688788414001,0.4841715693473816,0.6799588203430176,0.8107361793518066
34,0.5284731388092041,0.5633220076560974,0.7813768982887268,0.7127535939216614,0.5778688788414001,121525.6875,0.8606557250022888,0.5153374075889587
35,0.5435514450073242,0.4992448389530182,0.7853144407272339,0.719085156917572,0.5778688788414001,0.5032713413238525,0.7906420826911926,0.7101227045059204
36,0.5387205481529236,0.5280971527099609,0.7811301350593567,0.7192574143409729,0.5783811211585999,0.4902972877025604,0.7695785760879517,0.7309815883636475
37,0.5469184517860413,0.5211557149887085,0.7847274541854858,0.7143903374671936,0.5778688788414001,0.528619647026062,0.7906420826911926,0.7101227045059204
38,0.5457473397254944,0.4935623109340668,0.7882425785064697,0.7126674652099609,0.5778688788414001,0.4963059723377228,0.7898056507110596,0.7105827927589417
39,0.5412092208862305,0.48913630843162537,0.7836806178092957,0.7160701155662537,0.5409836173057556,2.4524238109588623,0.7364303469657898,0.6929447650909424
40,0.5438442230224609,0.4983065128326416,0.7853190302848816,0.7151656150817871,0.5778688788414001,0.47518226504325867,0.7893931865692139,0.7122699618339539
41,0.5426731109619141,0.48714587092399597,0.7858082056045532,0.7207219004631042,0.2120901644229889,1.3763158321380615,0.7047499418258667,0.5165644288063049
42,0.5445761680603027,0.45588377118110657,0.7873746156692505,0.7236507534980774,0.5778688788414001,0.4959094822406769,0.678713321685791,0.812269926071167
43,0.5375494360923767,0.4751029908657074,0.7844165563583374,0.7215402722358704,0.5778688788414001,0.4719173312187195,0.7907214760780334,0.7110429406166077
