recall,precision
0.00019936204146730463,1.0
0.00039872408293460925,1.0
0.0005980861244019139,1.0
0.0007974481658692185,1.0
0.000996810207336523,1.0
0.0011961722488038277,1.0
0.0013955342902711324,1.0
0.001594896331738437,1.0
0.0017942583732057417,1.0
0.001993620414673046,1.0
0.0021929824561403508,1.0
0.0023923444976076554,1.0
0.00259170653907496,1.0
0.0027910685805422647,1.0
0.0029904306220095694,1.0
0.003189792663476874,1.0
0.0033891547049441787,1.0
0.0035885167464114833,1.0
0.003787878787878788,1.0
0.003987240829346092,1.0
0.004186602870813397,1.0
0.0043859649122807015,1.0
0.004585326953748007,1.0
0.004784688995215311,1.0
0.004984051036682616,1.0
0.00518341307814992,1.0
0.005382775119617225,1.0
0.005582137161084529,1.0
0.0057814992025518345,1.0
0.005980861244019139,1.0
0.006180223285486443,1.0
0.006379585326953748,1.0
0.006578947368421052,1.0
0.006778309409888357,1.0
0.006977671451355662,1.0
0.007177033492822967,1.0
0.007376395534290271,1.0
0.007575757575757576,1.0
0.00777511961722488,1.0
0.007974481658692184,1.0
0.00817384370015949,1.0
0.008373205741626795,1.0
0.0085725677830941,1.0
0.008771929824561403,1.0
0.008971291866028708,1.0
0.009170653907496013,1.0
0.009370015948963317,1.0
0.009569377990430622,1.0
0.009768740031897927,1.0
0.009968102073365232,1.0
0.010167464114832535,1.0
0.01036682615629984,1.0
0.010566188197767145,1.0
0.01076555023923445,1.0
0.010964912280701754,1.0
0.011164274322169059,1.0
0.011363636363636364,1.0
0.011562998405103669,1.0
0.011762360446570972,1.0
0.011961722488038277,1.0
0.012161084529505583,1.0
0.012360446570972886,1.0
0.012559808612440191,1.0
0.012759170653907496,1.0
0.012958532695374801,1.0
0.013157894736842105,1.0
0.01335725677830941,1.0
0.013556618819776715,1.0
0.01375598086124402,1.0
0.013955342902711323,1.0
0.014154704944178628,1.0
0.014354066985645933,1.0
0.014553429027113238,1.0
0.014752791068580542,1.0
0.014952153110047847,1.0
0.015151515151515152,1.0
0.015350877192982455,1.0
0.01555023923444976,1.0
0.015749601275917065,1.0
0.01594896331738437,1.0
0.016148325358851676,1.0
0.01634768740031898,1.0
0.016547049441786282,1.0
0.01674641148325359,1.0
0.016945773524720893,1.0
0.0171451355661882,1.0
0.017344497607655503,1.0
0.017543859649122806,1.0
0.017743221690590113,1.0
0.017942583732057416,1.0
0.017942583732057416,0.989010989010989
0.01814194577352472,0.9891304347826086
0.018341307814992026,0.989247311827957
0.01854066985645933,0.9893617021276596
0.018740031897926633,0.9894736842105263
0.01893939393939394,0.9895833333333334
0.019138755980861243,0.9896907216494846
0.01933811802232855,0.9897959183673469
0.019537480063795853,0.98989898989899
0.019736842105263157,0.99
0.019936204146730464,0.9900990099009901
0.020135566188197767,0.9901960784313726
0.02033492822966507,0.9902912621359223
0.020534290271132377,0.9903846153846154
0.02073365231259968,0.9904761904761905
0.020933014354066987,0.9905660377358491
0.02113237639553429,0.9906542056074766
0.021331738437001594,0.9907407407407407
0.0215311004784689,0.9908256880733946
0.021730462519936204,0.990909090909091
0.021929824561403508,0.990990990990991
0.022129186602870814,0.9910714285714286
0.022328548644338118,0.9911504424778761
0.022328548644338118,0.9824561403508771
0.02252791068580542,0.9826086956521739
0.022727272727272728,0.9827586206896551
0.02292663476874003,0.9829059829059829
0.023125996810207338,0.9830508474576272
0.02332535885167464,0.9831932773109243
0.023524720893141945,0.9833333333333333
0.02372408293460925,0.9834710743801653
0.023923444976076555,0.9836065573770492
0.02412280701754386,0.983739837398374
0.024322169059011165,0.9838709677419355
0.02452153110047847,0.984
0.024720893141945772,0.9841269841269841
0.02492025518341308,0.984251968503937
0.025119617224880382,0.984375
0.02531897926634769,0.9844961240310077
0.025518341307814992,0.9846153846153847
0.025717703349282296,0.9847328244274809
0.025917065390749602,0.9848484848484849
0.026116427432216906,0.9849624060150376
0.02631578947368421,0.9850746268656716
0.026515151515151516,0.9851851851851852
0.02671451355661882,0.9852941176470589
0.026913875598086126,0.9854014598540146
0.02711323763955343,0.9855072463768116
0.027312599681020733,0.9856115107913669
0.02751196172248804,0.9857142857142858
0.027711323763955343,0.9858156028368794
0.027910685805422646,0.9859154929577465
0.028110047846889953,0.986013986013986
0.028309409888357256,0.9861111111111112
0.02850877192982456,0.9862068965517241
0.028708133971291867,0.9863013698630136
