,loss,val_loss
0,22.460947036743164,21.457365036010742
1,20.261749267578125,19.713090896606445
2,18.87632942199707,18.585535049438477
3,17.936628341674805,17.72538185119629
4,17.20269203186035,17.053171157836914
5,16.557477951049805,16.61121368408203
6,15.937469482421875,16.133686065673828
7,15.360107421875,15.723479270935059
8,14.813060760498047,15.086390495300293
9,14.293432235717773,14.448956489562988
10,13.787408828735352,14.073243141174316
11,13.332971572875977,13.627426147460938
12,12.870672225952148,13.176727294921875
13,12.409404754638672,12.853446006774902
14,11.994714736938477,12.515717506408691
15,11.593361854553223,12.054935455322266
16,11.193016052246094,11.719073295593262
17,10.809995651245117,11.393704414367676
18,10.443028450012207,11.008772850036621
19,10.093467712402344,10.661412239074707
20,9.753026008605957,10.34316349029541
21,9.427525520324707,10.104736328125
22,9.107645034790039,9.76712703704834
23,8.801734924316406,9.57423210144043
24,8.513203620910645,9.232501029968262
25,8.2330904006958,8.916172981262207
26,7.96030330657959,8.672432899475098
27,7.699818134307861,8.411686897277832
28,7.441636562347412,8.186244010925293
29,7.197666645050049,7.9878010749816895
30,6.96471643447876,7.751071929931641
31,6.734074592590332,7.516940593719482
32,6.515143871307373,7.327123165130615
33,6.297668933868408,7.077299118041992
34,6.089244365692139,6.864001750946045
35,5.890015125274658,6.718441009521484
36,6.087702751159668,6.736018657684326
37,6.062076568603516,6.450053691864014
38,5.640763282775879,6.132810115814209
39,5.3484086990356445,5.991794586181641
40,5.129581451416016,5.836093425750732
41,4.939698696136475,5.652528285980225
42,4.763566970825195,5.510223865509033
43,4.597332954406738,5.363180637359619
44,4.439902305603027,5.229170322418213
45,4.290802001953125,5.129235744476318
46,4.181722640991211,4.98284912109375
47,4.041191101074219,4.83162260055542
48,3.906169891357422,4.718763828277588
49,3.769460916519165,4.607788562774658
50,3.6417648792266846,4.482420921325684
51,3.5189342498779297,4.337493419647217
52,3.4016575813293457,4.260025978088379
53,3.2887167930603027,4.118867874145508
54,3.182056427001953,4.021876811981201
55,3.080010175704956,3.9252843856811523
56,2.9794976711273193,3.863308906555176
57,2.8838953971862793,3.7610023021698
58,2.792621612548828,3.6880133152008057
59,2.703354597091675,3.6022074222564697
60,2.6173646450042725,3.5058822631835938
61,2.5402209758758545,3.4358417987823486
62,2.4651098251342773,3.3331782817840576
63,2.3892908096313477,3.2387094497680664
64,2.3172242641448975,3.170985460281372
65,2.244900703430176,3.116032838821411
66,2.1758201122283936,3.0706136226654053
67,2.1086792945861816,2.99657940864563
68,2.0503015518188477,2.9077603816986084
69,1.9899405241012573,2.8750603199005127
70,1.929419755935669,2.788945436477661
71,1.871033787727356,2.7463197708129883
72,1.8120509386062622,2.718250274658203
73,1.754683494567871,2.639709234237671
74,1.7059764862060547,2.5531814098358154
75,1.6716188192367554,2.557690382003784
76,1.6552717685699463,2.5690343379974365
77,2.011911630630493,2.633739471435547
78,2.085531234741211,2.471837282180786
79,1.785496473312378,2.3454983234405518
80,1.6213452816009521,2.306601047515869
81,1.5146663188934326,2.2677524089813232
82,1.4385827779769897,2.2250638008117676
83,1.374760389328003,2.18982195854187
84,1.3215574026107788,2.148055076599121
85,1.2728337049484253,2.105031967163086
86,1.2285312414169312,2.0595154762268066
87,1.1863012313842773,2.028120756149292
88,1.147195816040039,2.006564140319824
89,1.1114330291748047,1.974751591682434
90,1.0746119022369385,1.9502447843551636
91,1.0393733978271484,1.9134384393692017
92,1.005623459815979,1.8981555700302124
93,0.9746537804603577,1.8609172105789185
94,0.9436219334602356,1.8268985748291016
95,0.916230320930481,1.82699453830719
96,0.8894110918045044,1.792501449584961
97,0.8623802661895752,1.7649587392807007
98,0.8449612855911255,1.8046916723251343
99,0.8469527959823608,1.679949402809143
