recall,precision
0.0,1.0
0.00025075225677031093,1.0
0.0005015045135406219,1.0
0.0007522567703109327,1.0
0.0010030090270812437,1.0
0.0012537612838515546,1.0
0.0015045135406218655,1.0
0.0017552657973921766,1.0
0.0020060180541624875,1.0
0.0022567703109327986,1.0
0.0025075225677031092,1.0
0.0027582748244734203,1.0
0.003009027081243731,1.0
0.003259779338014042,1.0
0.003510531594784353,1.0
0.003761283851554664,1.0
0.004012036108324975,1.0
0.004262788365095286,1.0
0.004513540621865597,1.0
0.004764292878635908,1.0
0.0050150451354062184,1.0
0.00526579739217653,1.0
0.005516549648946841,1.0
0.005767301905717151,1.0
0.006018054162487462,1.0
0.0062688064192577735,1.0
0.006519558676028084,1.0
0.006770310932798395,1.0
0.007021063189568706,1.0
0.007271815446339017,1.0
0.007522567703109328,1.0
0.007773319959879639,1.0
0.00802407221664995,1.0
0.008274824473420261,1.0
0.008525576730190571,1.0
0.008776328986960883,1.0
0.009027081243731194,1.0
0.009277833500501504,1.0
0.009528585757271816,1.0
0.009779338014042127,1.0
0.010030090270812437,1.0
0.010280842527582748,1.0
0.01053159478435306,1.0
0.01078234704112337,1.0
0.011033099297893681,1.0
0.011283851554663993,1.0
0.011534603811434303,1.0
0.011785356068204614,1.0
0.012036108324974924,1.0
0.012286860581745235,1.0
0.012537612838515547,1.0
0.012788365095285857,1.0
0.013039117352056168,1.0
0.01328986960882648,1.0
0.01354062186559679,1.0
0.013791374122367101,1.0
0.014042126379137413,1.0
0.014292878635907722,1.0
0.014543630892678034,1.0
0.014794383149448346,1.0
0.015045135406218655,1.0
0.015295887662988967,1.0
0.015546639919759278,1.0
0.01579739217652959,1.0
0.0160481444332999,1.0
0.01629889669007021,1.0
0.016549648946840523,1.0
0.016800401203610833,1.0
0.017051153460381142,1.0
0.017301905717151456,1.0
0.017552657973921765,1.0
0.017803410230692075,1.0
0.01805416248746239,1.0
0.0183049147442327,1.0
0.018555667001003008,1.0
0.01880641925777332,1.0
0.01905717151454363,1.0
0.01930792377131394,1.0
0.019558676028084254,1.0
0.019809428284854564,1.0
0.020060180541624874,1.0
0.020310932798395187,1.0
0.020561685055165497,1.0
0.020812437311935807,1.0
0.02106318956870612,1.0
0.02131394182547643,1.0
0.02156469408224674,1.0
0.021815446339017053,1.0
0.022066198595787363,1.0
0.022316950852557672,1.0
0.022567703109327986,1.0
0.022818455366098295,1.0
0.023069207622868605,1.0
0.02331995987963892,1.0
0.02357071213640923,1.0
0.023821464393179538,1.0
0.024072216649949848,1.0
0.02432296890672016,1.0
0.02457372116349047,1.0
0.02482447342026078,1.0
0.025075225677031094,1.0
0.025325977933801404,1.0
0.025576730190571714,1.0
0.025827482447342027,1.0
0.026078234704112337,1.0
0.026328986960882646,1.0
0.02657973921765296,1.0
0.02683049147442327,1.0
0.02708124373119358,1.0
0.027331995987963893,1.0
0.027582748244734202,1.0
0.027833500501504512,1.0
0.028084252758274825,1.0
0.028335005015045135,1.0
0.028585757271815445,1.0
0.028836509528585758,1.0
0.029087261785356068,1.0
0.029338014042126378,1.0
0.02958876629889669,1.0
0.029839518555667,1.0
0.03009027081243731,1.0
0.030341023069207624,1.0
0.030591775325977934,1.0
0.030842527582748244,1.0
