,loss,val_loss,learning_rate
0,19.569679260253906,18.76125717163086,9.999999747378752e-05
1,17.768108367919922,17.22673988342285,9.999999747378752e-05
2,16.584333419799805,16.244033813476562,9.999999747378752e-05
3,15.571562767028809,15.270896911621094,9.999999747378752e-05
4,14.694046974182129,14.54432487487793,9.999999747378752e-05
5,13.944748878479004,13.705573081970215,9.999999747378752e-05
6,13.177336692810059,12.984880447387695,9.999999747378752e-05
7,12.527361869812012,12.52564811706543,9.999999747378752e-05
8,11.89147663116455,11.826959609985352,9.999999747378752e-05
9,11.40971565246582,11.751646041870117,9.999999747378752e-05
10,10.948836326599121,11.169936180114746,9.999999747378752e-05
11,10.509519577026367,10.811473846435547,9.999999747378752e-05
12,10.00168228149414,10.353965759277344,9.999999747378752e-05
13,9.631760597229004,10.535406112670898,9.999999747378752e-05
14,9.308338165283203,10.095576286315918,9.999999747378752e-05
15,8.95208740234375,9.838107109069824,9.999999747378752e-05
16,8.61682415008545,9.674015998840332,9.999999747378752e-05
17,8.321786880493164,9.58239459991455,9.999999747378752e-05
18,8.0847806930542,9.022540092468262,9.999999747378752e-05
19,7.827825546264648,8.971668243408203,9.999999747378752e-05
20,7.560797691345215,8.795392990112305,9.999999747378752e-05
21,7.3505401611328125,8.59990119934082,9.999999747378752e-05
22,7.201224327087402,8.482216835021973,9.999999747378752e-05
23,7.06657075881958,8.413642883300781,9.999999747378752e-05
24,6.9022536277771,8.242457389831543,9.999999747378752e-05
25,6.744022846221924,8.193449020385742,9.999999747378752e-05
26,6.586747646331787,8.076759338378906,9.999999747378752e-05
27,6.440307140350342,7.844818115234375,9.999999747378752e-05
28,6.415454387664795,7.915409564971924,9.999999747378752e-05
29,6.271764278411865,7.817337989807129,9.999999747378752e-05
30,6.168665885925293,7.765191555023193,9.999999747378752e-05
31,6.0778398513793945,7.7683491706848145,9.999999747378752e-05
32,5.948650360107422,7.546867847442627,9.999999747378752e-05
33,5.813233375549316,7.372682094573975,9.999999747378752e-05
34,5.675717830657959,7.241685390472412,9.999999747378752e-05
35,5.554925918579102,7.1697468757629395,9.999999747378752e-05
36,5.456212520599365,7.248246192932129,9.999999747378752e-05
37,5.36705207824707,7.127966403961182,9.999999747378752e-05
38,5.27034330368042,6.911248207092285,9.999999747378752e-05
39,5.168697834014893,7.040288925170898,9.999999747378752e-05
40,5.0763726234436035,6.858310699462891,9.999999747378752e-05
41,4.983076572418213,6.7121734619140625,9.999999747378752e-05
42,4.88593053817749,6.642227649688721,9.999999747378752e-05
43,4.801108360290527,6.6129913330078125,9.999999747378752e-05
44,4.729791641235352,6.495077133178711,9.999999747378752e-05
45,4.664849281311035,6.345879554748535,9.999999747378752e-05
46,4.603634357452393,6.3741912841796875,9.999999747378752e-05
47,4.5162272453308105,6.172183990478516,9.999999747378752e-05
48,4.443297863006592,6.085134983062744,9.999999747378752e-05
49,4.473236083984375,6.17453145980835,9.999999747378752e-05
50,4.444527626037598,6.031011581420898,9.999999747378752e-05
51,4.3389458656311035,6.021484375,9.999999747378752e-05
52,4.21758508682251,5.833712577819824,9.999999747378752e-05
53,4.13087272644043,5.783267974853516,9.999999747378752e-05
