,loss,val_loss,learning_rate
0,19.66461181640625,18.906238555908203,9.999999747378752e-05
1,17.877002716064453,17.466609954833984,9.999999747378752e-05
2,16.656864166259766,16.248172760009766,9.999999747378752e-05
3,15.667400360107422,15.435898780822754,9.999999747378752e-05
4,14.778867721557617,14.510683059692383,9.999999747378752e-05
5,13.986783981323242,13.795600891113281,9.999999747378752e-05
6,13.290373802185059,13.029731750488281,9.999999747378752e-05
7,12.651678085327148,12.640291213989258,9.999999747378752e-05
8,12.024514198303223,12.011195182800293,9.999999747378752e-05
9,11.566641807556152,11.500683784484863,9.999999747378752e-05
10,11.037515640258789,11.138656616210938,9.999999747378752e-05
11,10.596416473388672,10.766944885253906,9.999999747378752e-05
12,10.216889381408691,10.812665939331055,9.999999747378752e-05
13,9.829451560974121,10.30273151397705,9.999999747378752e-05
14,9.473282814025879,10.167673110961914,9.999999747378752e-05
15,9.18004322052002,9.82889461517334,9.999999747378752e-05
16,8.886829376220703,9.727409362792969,9.999999747378752e-05
17,8.54313850402832,9.50340461730957,9.999999747378752e-05
18,8.236677169799805,9.344155311584473,9.999999747378752e-05
19,8.01148509979248,9.411277770996094,9.999999747378752e-05
20,7.79860258102417,9.461784362792969,9.999999747378752e-05
21,7.613317966461182,8.783550262451172,9.999999747378752e-05
22,7.42355489730835,8.770121574401855,9.999999747378752e-05
23,7.236325740814209,8.595026016235352,9.999999747378752e-05
24,7.0449419021606445,8.577075958251953,9.999999747378752e-05
25,6.877406120300293,8.193294525146484,9.999999747378752e-05
26,6.736225128173828,8.239489555358887,9.999999747378752e-05
27,6.622408390045166,8.111330032348633,9.999999747378752e-05
28,6.4820051193237305,8.008950233459473,9.999999747378752e-05
29,6.366150379180908,8.168107032775879,9.999999747378752e-05
30,6.26654052734375,7.643146991729736,9.999999747378752e-05
31,6.113938331604004,7.659590721130371,9.999999747378752e-05
32,5.978698253631592,7.527863025665283,9.999999747378752e-05
33,5.873284816741943,7.596458911895752,9.999999747378752e-05
34,5.765058994293213,7.308675765991211,9.999999747378752e-05
35,5.650759220123291,7.364546298980713,9.999999747378752e-05
36,5.575781345367432,7.269375801086426,9.999999747378752e-05
37,5.517818927764893,7.136804103851318,9.999999747378752e-05
38,5.573933124542236,7.354370594024658,9.999999747378752e-05
39,5.480620384216309,7.044857025146484,9.999999747378752e-05
40,5.348021984100342,6.952642917633057,9.999999747378752e-05
41,5.20602560043335,6.841117858886719,9.999999747378752e-05
42,5.09747838973999,6.796680927276611,9.999999747378752e-05
43,4.987708568572998,6.668502330780029,9.999999747378752e-05
44,4.889156341552734,6.503881931304932,9.999999747378752e-05
45,4.807690620422363,6.425989627838135,9.999999747378752e-05
46,4.719598293304443,6.408026218414307,9.999999747378752e-05
47,4.6432719230651855,6.310075283050537,9.999999747378752e-05
48,4.573805809020996,6.305159568786621,9.999999747378752e-05
49,4.506006240844727,6.190878391265869,9.999999747378752e-05
50,4.421364784240723,6.063911437988281,9.999999747378752e-05
51,4.342090129852295,6.0893049240112305,9.999999747378752e-05
52,4.4818220138549805,5.970095157623291,9.999999747378752e-05
53,4.400463104248047,6.034330368041992,9.999999747378752e-05
54,4.31392240524292,5.860127925872803,9.999999747378752e-05
55,4.225392818450928,5.826420783996582,9.999999747378752e-05
56,4.1082377433776855,5.9007568359375,9.999999747378752e-05
57,4.026137351989746,5.684715270996094,9.999999747378752e-05
58,3.93495512008667,5.560871124267578,9.999999747378752e-05
59,3.863842725753784,5.504703044891357,9.999999747378752e-05
60,3.7840006351470947,5.547338008880615,9.999999747378752e-05
61,3.731285333633423,5.430137634277344,9.999999747378752e-05
62,3.6684179306030273,5.401653289794922,9.999999747378752e-05
63,3.5996572971343994,5.323699951171875,9.999999747378752e-05
64,3.547454833984375,5.340270519256592,9.999999747378752e-05
65,3.4938690662384033,5.208402633666992,9.999999747378752e-05
66,3.438774824142456,5.323030948638916,9.999999747378752e-05
67,3.4203431606292725,5.3023858070373535,9.999999747378752e-05
68,3.4221715927124023,5.18436336517334,9.999999747378752e-05
69,3.5268774032592773,5.3227386474609375,9.999999747378752e-05
70,3.5672736167907715,5.054034233093262,9.999999747378752e-05
71,3.409776449203491,4.933405876159668,9.999999747378752e-05
72,3.287994146347046,4.875203609466553,9.999999747378752e-05
73,3.1907896995544434,4.834868431091309,9.999999747378752e-05
74,3.1194605827331543,4.743918418884277,9.999999747378752e-05
75,3.0578091144561768,4.824479103088379,9.999999747378752e-05
76,2.99871826171875,4.668386459350586,9.999999747378752e-05
77,2.9396533966064453,4.730774402618408,9.999999747378752e-05
78,2.8804819583892822,4.572632312774658,9.999999747378752e-05
79,2.8275043964385986,4.592077255249023,9.999999747378752e-05
80,2.794832229614258,4.582900047302246,9.999999747378752e-05
81,2.764077663421631,4.475827217102051,9.999999747378752e-05
82,2.7723939418792725,4.377707004547119,9.999999747378752e-05
83,2.723013162612915,4.677689075469971,9.999999747378752e-05
84,2.6691620349884033,4.356919288635254,9.999999747378752e-05
85,2.701387643814087,4.43466854095459,9.999999747378752e-05
86,2.720597982406616,4.433406829833984,9.999999747378752e-05
87,2.678056240081787,4.275784492492676,9.999999747378752e-05
88,2.609522819519043,4.172019004821777,9.999999747378752e-05
89,2.5289788246154785,4.185681343078613,9.999999747378752e-05
90,2.46535587310791,4.169928550720215,9.999999747378752e-05
